Date,Lamar Jackson
6/18/2016,34
6/19/2016,15
6/20/2016,7
6/21/2016,11
6/22/2016,4
6/23/2016,7
6/24/2016,7
6/25/2016,6
6/26/2016,4
6/27/2016,19
6/28/2016,4
6/29/2016,9
6/30/2016,7
7/1/2016,11
7/2/2016,23
7/3/2016,11
7/4/2016,13
7/5/2016,8
7/6/2016,12
7/7/2016,15
7/8/2016,26
7/9/2016,14
7/10/2016,13
7/11/2016,15
7/12/2016,21
7/13/2016,12
7/14/2016,18
7/15/2016,16
7/16/2016,15
7/17/2016,8
7/18/2016,11
7/19/2016,18
7/20/2016,20
7/21/2016,28
7/22/2016,35
7/23/2016,57
7/24/2016,38
7/25/2016,59
7/26/2016,29
7/27/2016,38
7/28/2016,12
7/29/2016,34
7/30/2016,20
7/31/2016,20
8/1/2016,34
8/2/2016,17
8/3/2016,21
8/4/2016,22
8/5/2016,16
8/6/2016,21
8/7/2016,22
8/8/2016,37
8/9/2016,28
8/10/2016,25
8/11/2016,18
8/12/2016,28
8/13/2016,33
8/14/2016,19
8/15/2016,29
8/16/2016,33
8/17/2016,24
8/18/2016,18
8/19/2016,29
8/20/2016,28
8/21/2016,30
8/22/2016,39
8/23/2016,22
8/24/2016,35
8/25/2016,34
8/26/2016,30
8/27/2016,31
8/28/2016,33
8/29/2016,24
8/30/2016,27
8/31/2016,52
9/1/2016,247
9/2/2016,2449
9/3/2016,455
9/4/2016,300
9/5/2016,176
9/6/2016,182
9/7/2016,223
9/8/2016,127
9/9/2016,202
9/10/2016,19957
9/11/2016,2680
9/12/2016,1833
9/13/2016,2564
9/14/2016,2242
9/15/2016,1750
9/16/2016,2365
9/17/2016,58508
9/18/2016,38851
9/19/2016,16132
9/20/2016,11237
9/21/2016,7527
9/22/2016,4596
9/23/2016,4679
9/24/2016,6028
9/25/2016,18874
9/26/2016,5492
9/27/2016,4469
9/28/2016,6630
9/29/2016,5292
9/30/2016,5436
10/1/2016,13255
10/2/2016,57068
10/3/2016,6695
10/4/2016,3601
10/5/2016,3000
10/6/2016,2022
10/7/2016,1670
10/8/2016,2173
10/9/2016,2158
10/10/2016,1433
10/11/2016,1365
10/12/2016,1170
10/13/2016,925
10/14/2016,1824
10/15/2016,6546
10/16/2016,2009
10/17/2016,1166
10/18/2016,1191
10/19/2016,1036
10/20/2016,815
10/21/2016,948
10/22/2016,11263
10/23/2016,6257
10/24/2016,2649
10/25/2016,1777
10/26/2016,1333
10/27/2016,962
10/28/2016,1069
10/29/2016,5923
10/30/2016,3495
10/31/2016,1464
11/1/2016,1624
11/2/2016,1183
11/3/2016,931
11/4/2016,881
11/5/2016,8644
11/6/2016,8677
11/7/2016,3003
11/8/2016,2074
11/9/2016,1258
11/10/2016,1362
11/11/2016,1540
11/12/2016,2576
11/13/2016,4575
11/14/2016,2203
11/15/2016,2355
11/16/2016,1993
11/17/2016,2110
11/18/2016,9367
11/19/2016,1865
11/20/2016,1829
11/21/2016,1337
11/22/2016,1209
11/23/2016,1159
11/24/2016,1271
11/25/2016,1522
11/26/2016,6357
11/27/2016,3820
11/28/2016,1765
11/29/2016,1407
11/30/2016,1472
12/1/2016,945
12/2/2016,950
12/3/2016,1643
12/4/2016,2288
12/5/2016,1431
12/6/2016,3669
12/7/2016,1988
12/8/2016,2467
12/9/2016,6393
12/10/2016,7680
12/11/2016,118741
12/12/2016,21494
12/13/2016,9988
12/14/2016,4983
12/15/2016,3097
12/16/2016,2583
12/17/2016,2668
12/18/2016,2517
12/19/2016,2588
12/20/2016,2133
12/21/2016,1578
12/22/2016,4399
12/23/2016,1672
12/24/2016,1843
12/25/2016,1718
12/26/2016,1681
12/27/2016,2091
12/28/2016,1829
12/29/2016,2269
12/30/2016,2531
12/31/2016,15495
1/1/2017,6588
1/2/2017,3184
1/3/2017,3789
1/4/2017,2723
1/5/2017,2158
1/6/2017,1433
1/7/2017,1718
1/8/2017,1909
1/9/2017,2087
1/10/2017,14275
1/11/2017,2738
1/12/2017,2193
1/13/2017,1194
1/14/2017,1205
1/15/2017,1408
1/16/2017,1211
1/17/2017,994
1/18/2017,845
1/19/2017,967
1/20/2017,790
1/21/2017,766
1/22/2017,925
1/23/2017,1048
1/24/2017,877
1/25/2017,924
1/26/2017,668
1/27/2017,672
1/28/2017,598
1/29/2017,648
1/30/2017,654
1/31/2017,545
2/1/2017,673
2/2/2017,720
2/3/2017,709
2/4/2017,740
2/5/2017,861
2/6/2017,1023
2/7/2017,851
2/8/2017,770
2/9/2017,1071
2/10/2017,764
2/11/2017,760
2/12/2017,728
2/13/2017,711
2/14/2017,569
2/15/2017,696
2/16/2017,755
2/17/2017,633
2/18/2017,612
2/19/2017,580
2/20/2017,602
2/21/2017,587
2/22/2017,677
2/23/2017,618
2/24/2017,578
2/25/2017,565
2/26/2017,635
2/27/2017,582
2/28/2017,693
3/1/2017,611
3/2/2017,691
3/3/2017,745
3/4/2017,984
3/5/2017,888
3/6/2017,849
3/7/2017,772
3/8/2017,739
3/9/2017,717
3/10/2017,744
3/11/2017,710
3/12/2017,648
3/13/2017,626
3/14/2017,601
3/15/2017,574
3/16/2017,614
3/17/2017,544
3/18/2017,514
3/19/2017,600
3/20/2017,600
3/21/2017,616
3/22/2017,616
3/23/2017,687
3/24/2017,663
3/25/2017,523
3/26/2017,536
3/27/2017,526
3/28/2017,488
3/29/2017,544
3/30/2017,563
3/31/2017,640
4/1/2017,521
4/2/2017,526
4/3/2017,498
4/4/2017,565
4/5/2017,496
4/6/2017,562
4/7/2017,601
4/8/2017,555
4/9/2017,502
4/10/2017,560
4/11/2017,502
4/12/2017,632
4/13/2017,547
4/14/2017,613
4/15/2017,626
4/16/2017,590
4/17/2017,603
4/18/2017,574
4/19/2017,597
4/20/2017,532
4/21/2017,649
4/22/2017,680
4/23/2017,577
4/24/2017,811
4/25/2017,902
4/26/2017,1021
4/27/2017,2036
4/28/2017,9149
4/29/2017,4178
4/30/2017,3012
5/1/2017,2205
5/2/2017,1413
5/3/2017,1195
5/4/2017,1158
5/5/2017,989
5/6/2017,1132
5/7/2017,723
5/8/2017,793
5/9/2017,614
5/10/2017,604
5/11/2017,877
5/12/2017,904
5/13/2017,717
5/14/2017,917
5/15/2017,690
5/16/2017,602
5/17/2017,595
5/18/2017,558
5/19/2017,547
5/20/2017,530
5/21/2017,593
5/22/2017,534
5/23/2017,635
5/24/2017,659
5/25/2017,531
5/26/2017,447
5/27/2017,453
5/28/2017,452
5/29/2017,478
5/30/2017,438
5/31/2017,452
6/1/2017,419
6/2/2017,566
6/3/2017,814
6/4/2017,675
6/5/2017,431
6/6/2017,430
6/7/2017,446
6/8/2017,373
6/9/2017,399
6/10/2017,357
6/11/2017,393
6/12/2017,383
6/13/2017,349
6/14/2017,383
6/15/2017,375
6/16/2017,478
6/17/2017,402
6/18/2017,521
6/19/2017,554
6/20/2017,480
6/21/2017,469
6/22/2017,449
6/23/2017,517
6/24/2017,396
6/25/2017,449
6/26/2017,526
6/27/2017,447
6/28/2017,403
6/29/2017,405
6/30/2017,692
7/1/2017,574
7/2/2017,498
7/3/2017,475
7/4/2017,420
7/5/2017,456
7/6/2017,885
7/7/2017,1343
7/8/2017,633
7/9/2017,571
7/10/2017,658
7/11/2017,540
7/12/2017,1150
7/13/2017,975
7/14/2017,827
7/15/2017,522
7/16/2017,513
7/17/2017,625
7/18/2017,590
7/19/2017,537
7/20/2017,721
7/21/2017,673
7/22/2017,544
7/23/2017,549
7/24/2017,627
7/25/2017,692
7/26/2017,603
7/27/2017,576
7/28/2017,592
7/29/2017,727
7/30/2017,680
7/31/2017,687
8/1/2017,1048
8/2/2017,985
8/3/2017,749
8/4/2017,838
8/5/2017,677
8/6/2017,788
8/7/2017,913
8/8/2017,916
8/9/2017,990
8/10/2017,1199
8/11/2017,948
8/12/2017,962
8/13/2017,1170
8/14/2017,1098
8/15/2017,1372
8/16/2017,1579
8/17/2017,943
8/18/2017,969
8/19/2017,1303
8/20/2017,1423
8/21/2017,1165
8/22/2017,1412
8/23/2017,954
8/24/2017,905
8/25/2017,909
8/26/2017,1266
8/27/2017,1245
8/28/2017,1222
8/29/2017,1356
8/30/2017,1177
8/31/2017,1314
9/1/2017,1601
9/2/2017,5728
9/3/2017,8033
9/4/2017,2462
9/5/2017,1859
9/6/2017,1151
9/7/2017,1097
9/8/2017,991
9/9/2017,16571
9/10/2017,9565
9/11/2017,3198
9/12/2017,2808
9/13/2017,3322
9/14/2017,3404
9/15/2017,4718
9/16/2017,8302
9/17/2017,17672
9/18/2017,2047
9/19/2017,1556
9/20/2017,1235
9/21/2017,979
9/22/2017,1213
9/23/2017,2071
9/24/2017,1878
9/25/2017,1183
9/26/2017,1102
9/27/2017,956
9/28/2017,833
9/29/2017,749
9/30/2017,1550
10/1/2017,1872
10/2/2017,1274
10/3/2017,1092
10/4/2017,911
10/5/2017,1296
10/6/2017,4123
10/7/2017,1374
10/8/2017,1448
10/9/2017,1411
10/10/2017,1157
10/11/2017,879
10/12/2017,799
10/13/2017,809
10/14/2017,2293
10/15/2017,1648
10/16/2017,1161
10/17/2017,1251
10/18/2017,731
10/19/2017,735
10/20/2017,769
10/21/2017,5802
10/22/2017,2067
10/23/2017,1206
10/24/2017,1103
10/25/2017,1216
10/26/2017,1001
10/27/2017,815
10/28/2017,1889
10/29/2017,1711
10/30/2017,1275
10/31/2017,1295
11/1/2017,1143
11/2/2017,1142
11/3/2017,1190
11/4/2017,1370
11/5/2017,1733
11/6/2017,1156
11/7/2017,1031
11/8/2017,955
11/9/2017,842
11/10/2017,876
11/11/2017,1730
11/12/2017,2317
11/13/2017,1258
11/14/2017,1280
11/15/2017,1109
11/16/2017,836
11/17/2017,1007
11/18/2017,1574
11/19/2017,2621
11/20/2017,1576
11/21/2017,1748
11/22/2017,1273
11/23/2017,1048
11/24/2017,1324
11/25/2017,4362
11/26/2017,3261
11/27/2017,1699
11/28/2017,1707
11/29/2017,1456
11/30/2017,1258
12/1/2017,1373
12/2/2017,2073
12/3/2017,2354
12/4/2017,1840
12/5/2017,6151
12/6/2017,2634
12/7/2017,2427
12/8/2017,3284
12/9/2017,5427
12/10/2017,17933
12/11/2017,3343
12/12/2017,1765
12/13/2017,1666
12/14/2017,1395
12/15/2017,1112
12/16/2017,954
12/17/2017,945
12/18/2017,922
12/19/2017,945
12/20/2017,870
12/21/2017,810
12/22/2017,1101
12/23/2017,1146
12/24/2017,1303
12/25/2017,1113
12/26/2017,1081
12/27/2017,1420
12/28/2017,1668
12/29/2017,1910
12/30/2017,14900
12/31/2017,4219
1/1/2018,3487
1/2/2018,5675
1/3/2018,2260
1/4/2018,2690
1/5/2018,6686
1/6/2018,4790
1/7/2018,3247
1/8/2018,2148
1/9/2018,3106
1/10/2018,1577
1/11/2018,1309
1/12/2018,1176
1/13/2018,1149
1/14/2018,1715
1/15/2018,1308
1/16/2018,1123
1/17/2018,991
1/18/2018,1230
1/19/2018,1321
1/20/2018,1105
1/21/2018,1066
1/22/2018,1525
1/23/2018,1091
1/24/2018,1072
1/25/2018,913
1/26/2018,890
1/27/2018,1092
1/28/2018,917
1/29/2018,776
1/30/2018,711
1/31/2018,978
2/1/2018,828
2/2/2018,696
2/3/2018,646
2/4/2018,745
2/5/2018,920
2/6/2018,917
2/7/2018,851
2/8/2018,770
2/9/2018,711
2/10/2018,683
2/11/2018,784
2/12/2018,926
2/13/2018,1108
2/14/2018,940
2/15/2018,805
2/16/2018,831
2/17/2018,679
2/18/2018,617
2/19/2018,1057
2/20/2018,2573
2/21/2018,2278
2/22/2018,1764
2/23/2018,2634
2/24/2018,1416
2/25/2018,1146
2/26/2018,1443
2/27/2018,1734
2/28/2018,1639
3/1/2018,1778
3/2/2018,4316
3/3/2018,8422
3/4/2018,4422
3/5/2018,2774
3/6/2018,2241
3/7/2018,2271
3/8/2018,1626
3/9/2018,1462
3/10/2018,1377
3/11/2018,1148
3/12/2018,1228
3/13/2018,1566
3/14/2018,1298
3/15/2018,1140
3/16/2018,1033
3/17/2018,1187
3/18/2018,1074
3/19/2018,1197
3/20/2018,1650
3/21/2018,1542
3/22/2018,1636
3/23/2018,1327
3/24/2018,996
3/25/2018,888
3/26/2018,1708
3/27/2018,1315
3/28/2018,1545
3/29/2018,3627
3/30/2018,3399
3/31/2018,1498
4/1/2018,1039
4/2/2018,1182
4/3/2018,2322
4/4/2018,2483
4/5/2018,1643
4/6/2018,1279
4/7/2018,1050
4/8/2018,967
4/9/2018,973
4/10/2018,1090
4/11/2018,1729
4/12/2018,2530
4/13/2018,2103
4/14/2018,1006
4/15/2018,1121
4/16/2018,1131
4/17/2018,1078
4/18/2018,1086
4/19/2018,1633
4/20/2018,1211
4/21/2018,971
4/22/2018,1145
4/23/2018,2643
4/24/2018,3175
4/25/2018,4092
4/26/2018,8410
4/27/2018,89096
4/28/2018,17759
4/29/2018,9219
4/30/2018,7823
5/1/2018,4902
5/2/2018,3767
5/3/2018,3186
5/4/2018,2765
5/5/2018,2781
5/6/2018,2722
5/7/2018,2621
5/8/2018,1664
5/9/2018,1526
5/10/2018,1471
5/11/2018,1411
5/12/2018,1258
5/13/2018,1073
5/14/2018,1371
5/15/2018,1110
5/16/2018,975
5/17/2018,912
5/18/2018,811
5/19/2018,974
5/20/2018,1206
5/21/2018,1036
5/22/2018,856
5/23/2018,853
5/24/2018,919
5/25/2018,802
5/26/2018,622
5/27/2018,637
5/28/2018,629
5/29/2018,640
5/30/2018,564
5/31/2018,587
6/1/2018,555
6/2/2018,549
6/3/2018,510
6/4/2018,551
6/5/2018,738
6/6/2018,673
6/7/2018,474
6/8/2018,462
6/9/2018,398
6/10/2018,480
6/11/2018,477
6/12/2018,678
6/13/2018,1102
6/14/2018,985
6/15/2018,1091
6/16/2018,659
6/17/2018,738
6/18/2018,749
6/19/2018,622
6/20/2018,621
6/21/2018,586
6/22/2018,567
6/23/2018,450
6/24/2018,710
6/25/2018,677
6/26/2018,512
6/27/2018,455
6/28/2018,437
6/29/2018,433
6/30/2018,366
7/1/2018,416
7/2/2018,427
7/3/2018,393
7/4/2018,506
7/5/2018,465
7/6/2018,550
7/7/2018,509
7/8/2018,480
7/9/2018,471
7/10/2018,521
7/11/2018,574
7/12/2018,521
7/13/2018,539
7/14/2018,445
7/15/2018,451
7/16/2018,557
7/17/2018,561
7/18/2018,598
7/19/2018,759
7/20/2018,856
7/21/2018,679
7/22/2018,744
7/23/2018,1083
7/24/2018,964
7/25/2018,951
7/26/2018,810
7/27/2018,791
7/28/2018,817
7/29/2018,816
7/30/2018,1068
7/31/2018,1083
8/1/2018,1182
8/2/2018,3579
8/3/2018,12569
8/4/2018,2356
8/5/2018,1338
8/6/2018,1504
8/7/2018,1161
8/8/2018,1030
8/9/2018,1118
8/10/2018,4190
8/11/2018,1563
8/12/2018,1246
8/13/2018,1179
8/14/2018,1242
8/15/2018,1065
8/16/2018,1116
8/17/2018,1135
8/18/2018,1057
8/19/2018,955
8/20/2018,1311
8/21/2018,6374
8/22/2018,1404
8/23/2018,1110
8/24/2018,1088
8/25/2018,1092
8/26/2018,3310
8/27/2018,1571
8/28/2018,1279
8/29/2018,1323
8/30/2018,1604
8/31/2018,2595
9/1/2018,1936
9/2/2018,7056
9/3/2018,1642
9/4/2018,1325
9/5/2018,1171
9/6/2018,1037
9/7/2018,975
9/8/2018,1071
9/9/2018,2803
9/10/2018,3768
9/11/2018,2163
9/12/2018,1432
9/13/2018,1556
9/14/2018,5952
9/15/2018,1305
9/16/2018,1688
9/17/2018,1464
9/18/2018,1195
9/19/2018,883
9/20/2018,847
9/21/2018,2352
9/22/2018,1499
9/23/2018,2205
9/24/2018,1932
9/25/2018,1408
9/26/2018,1281
9/27/2018,1046
9/28/2018,1062
9/29/2018,1538
9/30/2018,1756
10/1/2018,6436
10/2/2018,1414
10/3/2018,952
10/4/2018,902
10/5/2018,1051
10/6/2018,1479
10/7/2018,1976
10/8/2018,1678
10/9/2018,1052
10/10/2018,818
10/11/2018,721
10/12/2018,927
10/13/2018,884
10/14/2018,1755
10/15/2018,1548
10/16/2018,956
10/17/2018,770
10/18/2018,799
10/19/2018,1000
10/20/2018,745
10/21/2018,3183
10/22/2018,2131
10/23/2018,1145
10/24/2018,915
10/25/2018,1023
10/26/2018,1348
10/27/2018,988
10/28/2018,2029
10/29/2018,1666
10/30/2018,1300
10/31/2018,926
11/1/2018,881
11/2/2018,906
11/3/2018,1745
11/4/2018,3552
11/5/2018,1756
11/6/2018,1503
11/7/2018,1239
11/8/2018,857
11/9/2018,1173
11/10/2018,2509
11/11/2018,1981
11/12/2018,1854
11/13/2018,1480
11/14/2018,1711
11/15/2018,1585
11/16/2018,1414
11/17/2018,1385
11/18/2018,15681
11/19/2018,10750
11/20/2018,3899
11/21/2018,2381
11/22/2018,2339
11/23/2018,2214
11/24/2018,1973
11/25/2018,8079
11/26/2018,6277
11/27/2018,3563
11/28/2018,3571
11/29/2018,2145
11/30/2018,1830
12/1/2018,1511
12/2/2018,8793
12/3/2018,4413
12/4/2018,2774
12/5/2018,2067
12/6/2018,1947
12/7/2018,2567
12/8/2018,1923
12/9/2018,15541
12/10/2018,4375
12/11/2018,2176
12/12/2018,3773
12/13/2018,3805
12/14/2018,2136
12/15/2018,1747
12/16/2018,13656
12/17/2018,6283
12/18/2018,3048
12/19/2018,2203
12/20/2018,1884
12/21/2018,1672
12/22/2018,2584
12/23/2018,35776
12/24/2018,5646
12/25/2018,3222
12/26/2018,2502
12/27/2018,2735
12/28/2018,2544
12/29/2018,2917
12/30/2018,22823
12/31/2018,62984
1/1/2019,11815
1/2/2019,11098
1/3/2019,13143
1/4/2019,9023
1/5/2019,10130
1/6/2019,76482
1/7/2019,18819
1/8/2019,7691
1/9/2019,3025
1/10/2019,2961
1/11/2019,2146
1/12/2019,2586
1/13/2019,2880
1/14/2019,2250
1/15/2019,1655
1/16/2019,1459
1/17/2019,1264
1/18/2019,1215
1/19/2019,1048
1/20/2019,1581
1/21/2019,1822
1/22/2019,1182
1/23/2019,972
1/24/2019,961
1/25/2019,953
1/26/2019,824
1/27/2019,1058
1/28/2019,823
1/29/2019,765
1/30/2019,742
1/31/2019,738
2/1/2019,1322
2/2/2019,1071
2/3/2019,1401
2/4/2019,1765
2/5/2019,994
2/6/2019,868
2/7/2019,711
2/8/2019,746
2/9/2019,727
2/10/2019,728
2/11/2019,954
2/12/2019,1137
2/13/2019,3975
2/14/2019,2728
2/15/2019,1314
2/16/2019,954
2/17/2019,877
2/18/2019,823
2/19/2019,932
2/20/2019,874
2/21/2019,787
2/22/2019,609
2/23/2019,544
2/24/2019,566
2/25/2019,699
2/26/2019,721
2/27/2019,647
2/28/2019,931
3/1/2019,840
3/2/2019,747
3/3/2019,676
3/4/2019,872
3/5/2019,724
3/6/2019,729
3/7/2019,681
3/8/2019,752
3/9/2019,531
3/10/2019,587
3/11/2019,622
3/12/2019,734
3/13/2019,1960
3/14/2019,2432
3/15/2019,1182
3/16/2019,915
3/17/2019,858
3/18/2019,831
3/19/2019,828
3/20/2019,737
3/21/2019,841
3/22/2019,806
3/23/2019,588
3/24/2019,629
3/25/2019,718
3/26/2019,708
3/27/2019,691
3/28/2019,625
3/29/2019,569
3/30/2019,525
3/31/2019,526
4/1/2019,552
4/2/2019,554
4/3/2019,520
4/4/2019,565
4/5/2019,559
4/6/2019,523
4/7/2019,573
4/8/2019,552
4/9/2019,580
4/10/2019,459
4/11/2019,574
4/12/2019,520
4/13/2019,396
4/14/2019,458
4/15/2019,607
4/16/2019,667
4/17/2019,675
4/18/2019,659
4/19/2019,663
4/20/2019,609
4/21/2019,648
4/22/2019,664
4/23/2019,836
4/24/2019,793
4/25/2019,1125
4/26/2019,4649
4/27/2019,2842
4/28/2019,1531
4/29/2019,1393
4/30/2019,1207
5/1/2019,910
5/2/2019,868
5/3/2019,827
5/4/2019,722
5/5/2019,674
5/6/2019,752
5/7/2019,696
5/8/2019,591
5/9/2019,601
5/10/2019,656
5/11/2019,610
5/12/2019,578
5/13/2019,653
5/14/2019,778
5/15/2019,582
5/16/2019,544
5/17/2019,577
5/18/2019,506
5/19/2019,492
5/20/2019,503
5/21/2019,526
5/22/2019,482
5/23/2019,575
5/24/2019,690
5/25/2019,624
5/26/2019,495
5/27/2019,551
5/28/2019,574
5/29/2019,541
5/30/2019,651
5/31/2019,434
6/1/2019,422
6/2/2019,389
6/3/2019,489
6/4/2019,450
6/5/2019,513
6/6/2019,452
6/7/2019,465
6/8/2019,386
6/9/2019,982
6/10/2019,662
6/11/2019,463
6/12/2019,434
6/13/2019,597
6/14/2019,463
6/15/2019,433
6/16/2019,421
6/17/2019,436
6/18/2019,507
6/19/2019,443
6/20/2019,452
6/21/2019,389
6/22/2019,383
6/23/2019,389
6/24/2019,442
6/25/2019,407
6/26/2019,538
6/27/2019,653
6/28/2019,474
6/29/2019,385
6/30/2019,437
7/1/2019,432
7/2/2019,406
7/3/2019,444
7/4/2019,393
7/5/2019,366
7/6/2019,353
7/7/2019,437
7/8/2019,501
7/9/2019,479
7/10/2019,440
7/11/2019,525
7/12/2019,477
7/13/2019,480
7/14/2019,552
7/15/2019,1166
7/16/2019,567
7/17/2019,746
7/18/2019,999
7/19/2019,722
7/20/2019,549
7/21/2019,608
7/22/2019,668
7/23/2019,723
7/24/2019,791
7/25/2019,871
7/26/2019,1055
7/27/2019,809
7/28/2019,999
7/29/2019,1265
7/30/2019,1509
7/31/2019,1287
8/1/2019,1100
8/2/2019,1370
8/3/2019,939
8/4/2019,995
8/5/2019,1129
8/6/2019,1152
8/7/2019,1040
8/8/2019,1281
8/9/2019,3231
8/10/2019,1225
8/11/2019,1102
8/12/2019,1058
8/13/2019,1193
8/14/2019,1129
8/15/2019,1377
8/16/2019,6144
8/17/2019,2125
8/18/2019,1510
8/19/2019,1562
8/20/2019,2295
8/21/2019,1444
8/22/2019,1674
8/23/2019,1997
8/24/2019,1316
8/25/2019,2286
8/26/2019,1938
8/27/2019,1614
8/28/2019,1825
8/29/2019,1698
8/30/2019,2271
8/31/2019,1985
9/1/2019,1858
9/2/2019,2733
9/3/2019,4894
9/4/2019,2293
9/5/2019,2194
9/6/2019,2376
9/7/2019,2385
9/8/2019,33077
9/9/2019,33856
9/10/2019,13394
9/11/2019,6836
9/12/2019,7916
9/13/2019,10336
9/14/2019,4349
9/15/2019,20079
9/16/2019,18316
9/17/2019,9372
9/18/2019,6308
9/19/2019,6041
9/20/2019,9053
9/21/2019,4887
9/22/2019,31647
9/23/2019,10293
9/24/2019,5164
9/25/2019,4067
9/26/2019,4051
9/27/2019,3339
9/28/2019,4443
9/29/2019,9751
9/30/2019,6099
10/1/2019,2718
10/2/2019,2120
10/3/2019,1861
10/4/2019,1707
10/5/2019,1583
10/6/2019,7863
10/7/2019,3767
10/8/2019,2543
10/9/2019,2002
10/10/2019,1844
10/11/2019,1566
10/12/2019,1849
10/13/2019,7032
10/14/2019,6344
10/15/2019,3511
10/16/2019,2348
10/17/2019,2143
10/18/2019,3617
10/19/2019,2624
10/20/2019,28194
10/21/2019,21186
10/22/2019,8904
10/23/2019,4218
10/24/2019,2906
10/25/2019,2513
10/26/2019,2546
10/27/2019,3103
10/28/2019,3166
10/29/2019,2929
10/30/2019,3445
10/31/2019,3173
11/1/2019,3865
11/2/2019,3084
11/3/2019,5422
11/4/2019,145417
11/5/2019,22326
11/6/2019,13052
11/7/2019,8613
11/8/2019,5517
11/9/2019,5485
11/10/2019,28920
11/11/2019,51227
11/12/2019,26982
11/13/2019,15064
11/14/2019,13232
11/15/2019,10067
11/16/2019,7681
11/17/2019,41899
11/18/2019,43072
11/19/2019,23485
11/20/2019,11529
11/21/2019,9180
11/22/2019,8555
11/23/2019,5903
11/24/2019,8831
11/25/2019,12324
11/26/2019,263059
11/27/2019,49223
11/28/2019,29407
11/29/2019,18713
11/30/2019,13224
12/1/2019,70619
12/2/2019,44923
12/3/2019,17499
12/4/2019,12347
12/5/2019,13753
12/6/2019,13406
12/7/2019,10108
12/8/2019,26465
12/9/2019,18829
12/10/2019,13599
12/11/2019,11944
12/12/2019,15166
12/13/2019,173014
12/14/2019,32621
12/15/2019,35232
12/16/2019,19948
12/17/2019,20945
12/18/2019,20896
12/19/2019,12632
12/20/2019,9944
12/21/2019,10590
12/22/2019,36059
12/23/2019,30753
12/24/2019,19600
12/25/2019,13599
12/26/2019,11646
12/27/2019,11340
12/28/2019,13006
12/29/2019,24565
12/30/2019,24088
12/31/2019,14978
